hadoop.common.configuration.version,version of this configuration file,0.23.0
fs.azure.authorization," Config flag to enable authorization support in WASB. Setting it to ""true"" enables authorization support to WASB. Currently WASB authorization requires a remote service to provide authorization that needs to be specified via fs.azure.authorization.remote.service.url configuration  ",false
fs.azure.authorization.caching.enable, Config flag to enable caching of authorization results and saskeys in WASB. This flag is relevant only when fs.azure.authorization is enabled.  ,true
fs.azure.saskey.usecontainersaskeyforallaccess, Use container saskey for access to all blobs within the container. Blob-specific saskeys are not used when this setting is enabled. This setting provides better performance compared to blob-specific saskeys.  ,true
fs.adl.impl,,org.apache.hadoop.fs.adl.AdlFileSystem
fs.AbstractFileSystem.adl.impl,,org.apache.hadoop.fs.adl.Adl
io.seqfile.compress.blocksize,The minimum block size for compression in block compressed    SequenceFiles.  ,1000000
io.mapfile.bloom.size,"The size of BloomFilter-s used in BloomMapFile. Each time this many  keys is appended the next BloomFilter will be created (inside a DynamicBloomFilter).  Larger values minimize the number of filters, which slightly increases the performance,  but may waste too much space if the total number of keys is usually much smaller  than this number.  ",1048576
io.mapfile.bloom.error.rate,"The rate of false positives in BloomFilter-s used in BloomMapFile.  As this value decreases, the size of BloomFilter-s increases exponentially. This  value is the probability of encountering false positives (default is 0.5%).  ",0.005
hadoop.util.hash.type,The default implementation of Hash. Currently this can take one of the  two values: 'murmur' to select MurmurHash and 'jenkins' to select JenkinsHash.  ,murmur
ipc.client.idlethreshold,Defines the threshold number of connections after which      connections will be inspected for idleness.  ,4000
ipc.client.kill.max,Defines the maximum number of clients to disconnect in one go.  ,10
ipc.client.connection.maxidletime,The maximum time in msec after which a client will bring down the      connection to the server.  ,10000
ipc.client.connect.max.retries,Indicates the number of retries a client will make to establish      a server connection.  ,10
ipc.client.connect.retry.interval,Indicates the number of milliseconds a client will wait for before retrying to establish a server connection.  ,1000
ipc.client.connect.timeout,Indicates the number of milliseconds a client will wait for the      socket to establish a server connection.  ,20000
ipc.client.connect.max.retries.on.timeouts,Indicates the number of retries a client will make on socket timeout      to establish a server connection.  ,45
ipc.client.tcpnodelay,Use TCP_NODELAY flag to bypass Nagle's algorithm transmission delays.  ,true
ipc.client.low-latency,Use low-latency QoS markers for IPC connections.  ,false
ipc.client.ping,"Send a ping to the server when timeout on reading the response,  if set to true. If no failure is detected, the client retries until at least  a byte is read or the time given by ipc.client.rpc-timeout.ms is passed.  ",true
ipc.ping.interval,"Timeout on waiting response from server, in milliseconds.  The client will send ping when the interval is passed without receiving bytes,  if ipc.client.ping is set to true.  ",60000
ipc.client.rpc-timeout.ms,"Timeout on waiting response from server, in milliseconds.  If ipc.client.ping is set to true and this rpc-timeout is greater than  the value of ipc.ping.interval, the effective value of the rpc-timeout is  rounded up to multiple of ipc.ping.interval.  ",0
ipc.server.listen.queue.size,Indicates the length of the listen queue for servers accepting      client connections.  ,128
ipc.server.log.slow.rpc,This setting is useful to troubleshoot performance issues for  various services. If this value is set to true then we log requests that  fall into 99th percentile as well as increment RpcSlowCalls counter. ,false
ipc.maximum.data.length,This indicates the maximum IPC message length (bytes) that can be accepted by the server. Messages larger than this value are rejected by the immediately to avoid possible OOMs. This setting should rarely need to be changed.  ,67108864
ipc.maximum.response.length,This indicates the maximum IPC message length (bytes) that can be accepted by the client. Messages larger than this value are rejected immediately to avoid possible OOMs. This setting should rarely need to be changed.  Set to 0 to disable.  ,134217728
hadoop.security.impersonation.provider.class,"A class which implements ImpersonationProvider interface, used to    authorize whether one user can impersonate a specific user.    If not specified, the DefaultImpersonationProvider will be used.    If a class is specified, then that class will be used to determine    the impersonation capability.  ",
hadoop.rpc.socket.factory.class.default," Default SocketFactory to use. This parameter is expected to be formatted as ""package.FactoryClassName"".  ",org.apache.hadoop.net.StandardSocketFactory
hadoop.rpc.socket.factory.class.ClientProtocol," SocketFactory to use to connect to a DFS. If null or empty, use hadoop.rpc.socket.class.default. This socket factory is also used by DFSClient to create sockets to DataNodes.  ",
hadoop.socks.server, Address (host:port) of the SOCKS server to be used by the SocksSocketFactory.  ,
net.topology.node.switch.mapping.impl," The default implementation of the DNSToSwitchMapping. It invokes a script specified in net.topology.script.file.name to resolve node names. If the value for net.topology.script.file.name is not set, the default value of DEFAULT_RACK is returned for all node names.  ",org.apache.hadoop.net.ScriptBasedMapping
net.topology.impl, The default implementation of NetworkTopology which is classic three layer one.  ,org.apache.hadoop.net.NetworkTopology
net.topology.script.file.name," The script name that should be invoked to resolve DNS names to NetworkTopology names. Example: the script would take host.foo.bar as an argument, and return /rack1 as the output.  ",
net.topology.script.number.args, The max number of args that the script configured with net.topology.script.file.name should be run with. Each arg is an IP address.  ,100
net.topology.table.file.name," The file name for a topology file, which is used when the net.topology.node.switch.mapping.impl property is set to org.apache.hadoop.net.TableMapping. The file format is a two column text file, with columns separated by whitespace. The first column is a DNS or IP address and the second column specifies the rack where the address maps. If no entry corresponding to a host in the cluster is found, then /default-rack is assumed.  ",
file.stream-buffer-size,"The size of buffer to stream files.  The size of this buffer should probably be a multiple of hardware  page size (4096 on Intel x86), and it determines how much data is  buffered during read and write operations.",4096
file.bytes-per-checksum,The number of bytes per checksum.  Must not be larger than  file.stream-buffer-size,512
file.client-write-packet-size,Packet size for clients to write,65536
file.blocksize,Block size,67108864
file.replication,Replication factor,1
s3.stream-buffer-size,"The size of buffer to stream files.  The size of this buffer should probably be a multiple of hardware  page size (4096 on Intel x86), and it determines how much data is  buffered during read and write operations.",4096
s3.bytes-per-checksum,The number of bytes per checksum.  Must not be larger than  s3.stream-buffer-size,512
s3.client-write-packet-size,Packet size for clients to write,65536
s3.blocksize,Block size,67108864
